"","zip","region"
"1177",17176,"East"
"1178",17177,"East"
"1179",17178,"East"
"1180",17179,"East"
"1181",17180,"East"
"1182",17181,"East"
"1183",17182,"East"
"1184",17183,"East"
"1185",17184,"East"
"1186",17185,"East"
"1187",17186,"East"
"1188",17187,"East"
"1189",17188,"East"
"1190",17189,"East"
"1191",17190,"East"
"1192",17191,"East"
"1193",17192,"East"
"1194",17193,"East"
"1195",17194,"East"
"1196",17195,"East"
"1197",17196,"East"
"1198",17197,"East"
"1199",17198,"East"
"1200",17199,"East"
"1201",17200,"East"
"1202",17201,"East"
"1203",17202,"East"
"1204",17203,"East"
"1205",17204,"East"
"1206",17205,"East"
"1207",17206,"East"
"1208",17207,"East"
"1209",17208,"East"
"1210",17209,"East"
"1211",17210,"East"
"1212",17211,"East"
"1213",17212,"East"
"1214",17213,"East"
"1215",17214,"East"
"1216",17215,"East"
"1217",17216,"East"
"1218",17217,"East"
"1219",17218,"East"
"1220",17219,"East"
"1221",17220,"East"
"1222",17221,"East"
"1223",17222,"East"
"1224",17223,"East"
"1225",17224,"East"
"1226",17225,"East"
"1227",17226,"East"
"1228",17227,"East"
"1229",17228,"East"
"1230",17229,"East"
"1231",17230,"East"
"1232",17231,"East"
"1233",17232,"East"
"1234",17233,"East"
"1235",17234,"East"
"1236",17235,"East"
"1237",17236,"East"
"1238",17237,"East"
"1239",17238,"East"
"1240",17239,"East"
"1241",17240,"East"
"1242",17241,"East"
"1243",17242,"East"
"1244",17243,"East"
"1245",17244,"East"
"1246",17245,"East"
"1247",17246,"East"
"1248",17247,"East"
"1249",17248,"East"
"1250",17249,"East"
"1251",17250,"East"
"1252",17251,"East"
"1253",17252,"East"
"1254",17253,"East"
"1255",17254,"East"
"1256",17255,"East"
"1257",17256,"East"
"1258",17257,"East"
"1259",17258,"East"
"1260",17259,"East"
"1261",17260,"East"
"1262",17261,"East"
"1263",17262,"East"
"1264",17263,"East"
"1265",17264,"East"
"1266",17265,"East"
"1267",17266,"East"
"1268",17267,"East"
"1269",17268,"East"
"1270",17269,"East"
"1271",17270,"East"
"1272",17271,"East"
"1273",17272,"East"
"1274",17273,"East"
"1275",17274,"East"
"1276",17275,"East"
"1277",17276,"East"
