"Postcode","Region","Rural.urban"
23728,"Center-West","Rural"
24467,"Center-West","Rural"
23000,"Center-West","Urban"
23100,"Center-West","Urban"
23102,"Center-West","Urban"
23104,"Center-West","Urban"
23500,"Center-West","Urban"
23091,"Center-West","Rural"
23518,"Center-West","Rural"
23014,"Center-West","Rural"
23533,"Center-West","Rural"
23527,"Center-West","Rural"
23006,"Center-West","Rural"
23078,"Center-West","Rural"
23133,"Center-West","Rural"
23024,"Center-West","Rural"
23509,"Center-West","Rural"
23028,"Center-West","Rural"
23092,"Center-West","Rural"
23506,"Center-West","Rural"
23162,"Center-West","Rural"
23093,"Center-West","Rural"
23159,"Center-West","Rural"
23016,"Center-West","Rural"
23559,"Center-West","Rural"
23097,"Center-West","Rural"
23044,"Center-West","Rural"
23164,"Center-West","Rural"
23031,"Center-West","Rural"
23535,"Center-West","Rural"
23090,"Center-West","Rural"
23038,"Center-West","Rural"
23012,"Center-West","Rural"
23011,"Center-West","Rural"
23507,"Center-West","Rural"
23017,"Center-West","Rural"
23552,"Center-West","Rural"
23041,"Center-West","Rural"
23129,"Center-West","Rural"
23018,"Center-West","Rural"
23063,"Center-West","Rural"
23564,"Center-West","Rural"
23079,"Center-West","Rural"
23042,"Center-West","Rural"
23157,"Center-West","Rural"
23158,"Center-West","Rural"
23532,"Center-West","Rural"
23508,"Center-West","Rural"
23545,"Center-West","Rural"
23531,"Center-West","Rural"
23547,"Center-West","Rural"
23110,"Center-West","Rural"
23143,"Center-West","Rural"
23025,"Center-West","Rural"
23033,"Center-West","Rural"
23095,"Center-West","Rural"
23551,"Center-West","Rural"
23057,"Center-West","Rural"
23111,"Center-West","Rural"
23086,"Center-West","Rural"
23013,"Center-West","Rural"
23516,"Center-West","Rural"
23080,"Center-West","Rural"
23512,"Center-West","Rural"
23553,"Center-West","Rural"
23163,"Center-West","Rural"
23083,"Center-West","Rural"
23062,"Center-West","Rural"
23120,"Center-West","Rural"
23153,"Center-West","Rural"
23087,"Center-West","Rural"
23037,"Center-West","Rural"
23525,"Center-West","Rural"
23088,"Center-West","Rural"
23514,"Center-West","Rural"
23081,"Center-West","Rural"
23010,"Center-West","Rural"
23517,"Center-West","Rural"
23526,"Center-West","Rural"
23150,"Center-West","Rural"
23052,"Center-West","Rural"
23558,"Center-West","Rural"
23128,"Center-West","Rural"
23040,"Center-West","Rural"
23114,"Center-West","Rural"
23108,"Center-West","Rural"
23116,"Center-West","Rural"
23061,"Center-West","Rural"
23540,"Center-West","Rural"
23137,"Center-West","Rural"
23015,"Center-West","Rural"
23155,"Center-West","Rural"
23132,"Center-West","Rural"
23096,"Center-West","Rural"
23172,"Center-West","Rural"
23537,"Center-West","Rural"
23109,"Center-West","Rural"
23148,"Center-West","Rural"
23519,"Center-West","Rural"
23034,"Center-West","Rural"
23030,"Center-West","Rural"
23039,"Center-West","Rural"
23134,"Center-West","Rural"
23060,"Center-West","Rural"
23050,"Center-West","Rural"
23136,"Center-West","Rural"
23005,"Center-West","Rural"
23023,"Center-West","Rural"
23084,"Center-West","Rural"
23036,"Center-West","Rural"
23523,"Center-West","Rural"
23032,"Center-West","Rural"
23154,"Center-West","Rural"
23530,"Center-West","Rural"
23046,"Center-West","Rural"
23549,"Center-West","Rural"
23171,"Center-West","Rural"
23513,"Center-West","Rural"
23151,"Center-West","Rural"
23008,"Center-West","Rural"
23127,"Center-West","Rural"
23166,"Center-West","Rural"
23047,"Center-West","Rural"
23520,"Center-West","Rural"
23521,"Center-West","Rural"
23048,"Center-West","Rural"
23511,"Center-West","Rural"
23118,"Center-West","Rural"
23145,"Center-West","Rural"
23049,"Center-West","Rural"
23543,"Center-West","Rural"
23043,"Center-West","Rural"
23510,"Center-West","Rural"
23085,"Center-West","Rural"
23117,"Center-West","Rural"
23156,"Center-West","Rural"
23554,"Center-West","Rural"
23542,"Center-West","Rural"
23098,"Center-West","Rural"
23538,"Center-West","Rural"
23051,"Center-West","Rural"
23112,"Center-West","Rural"
23058,"Center-West","Rural"
23059,"Center-West","Rural"
23135,"Center-West","Rural"
23165,"Center-West","Rural"
23539,"Center-West","Rural"
23515,"Center-West","Rural"
23555,"Center-West","Rural"
23556,"Center-West","Rural"
23561,"Center-West","Rural"
23064,"Center-West","Rural"
23122,"Center-West","Rural"
23065,"Center-West","Rural"
23147,"Center-West","Rural"
23175,"Center-West","Rural"
23068,"Center-West","Rural"
23123,"Center-West","Rural"
23169,"Center-West","Rural"
23067,"Center-West","Rural"
23138,"Center-West","Rural"
23505,"Center-West","Rural"
23022,"Center-West","Rural"
23160,"Center-West","Rural"
23069,"Center-West","Rural"
23035,"Center-West","Rural"
23121,"Center-West","Rural"
23045,"Center-West","Rural"
23548,"Center-West","Rural"
23131,"Center-West","Rural"
23161,"Center-West","Rural"
23170,"Center-West","Rural"
23541,"Center-West","Rural"
23152,"Center-West","Rural"
23027,"Center-West","Rural"
23125,"Center-West","Rural"
23070,"Center-West","Rural"
23071,"Center-West","Rural"
23072,"Center-West","Rural"
23522,"Center-West","Rural"
23020,"Center-West","Rural"
23544,"Center-West","Rural"
23009,"Center-West","Rural"
23026,"Center-West","Rural"
23074,"Center-West","Rural"
23124,"Center-West","Rural"
23073,"Center-West","Rural"
23055,"Center-West","Rural"
23075,"Center-West","Rural"
23056,"Center-West","Rural"
23076,"Center-West","Rural"
23077,"Center-West","Rural"
23144,"Center-West","Rural"
23524,"Center-West","Rural"
23021,"Center-West","Rural"
24024,"Center-West","Rural"
23149,"Center-West","Rural"
23130,"Center-West","Urban"
23053,"Center-West","Urban"
23007,"Center-West","Rural"
23174,"Center-West","Rural"
23115,"Center-West","Rural"
23173,"Center-West","Rural"
23019,"Center-West","Rural"
23094,"Center-West","Rural"
23054,"Center-West","Rural"
23029,"Center-West","Rural"
23546,"Center-West","Rural"
23089,"Center-West","Rural"
23566,"Center-West","Rural"
23113,"Center-West","Rural"
23119,"Center-West","Rural"
23528,"Center-West","Rural"
23168,"Center-West","Rural"
23557,"Center-West","Rural"
23066,"Center-West","Rural"
23167,"Center-West","Rural"
23139,"Center-West","Rural"
23176,"Center-West","Rural"
24000,"Center-West","Urban"
24001,"Center-West","Urban"
24004,"Center-West","Urban"
24500,"Center-West","Urban"
24108,"Center-West","Rural"
24132,"Center-West","Rural"
24054,"Center-West","Rural"
23412,"Center-West","Rural"
23409,"Center-West","Rural"
24530,"Center-West","Rural"
24111,"Center-West","Rural"
23462,"Center-West","Rural"
24019,"Center-West","Rural"
24505,"Center-West","Rural"
23445,"Center-West","Rural"
24110,"Center-West","Rural"
23439,"Center-West","Rural"
24123,"Center-West","Rural"
24033,"Center-West","Rural"
24052,"Center-West","Rural"
24131,"Center-West","Rural"
24523,"Center-West","Rural"
24125,"Center-West","Rural"
24546,"Center-West","Rural"
23420,"Center-West","Rural"
24140,"Center-West","Rural"
24130,"Center-West","Rural"
23421,"Center-West","Rural"
24107,"Center-West","Rural"
23432,"Center-West","Rural"
24141,"Center-West","Rural"
24049,"Center-West","Rural"
23438,"Center-West","Rural"
23455,"Center-West","Rural"
24521,"Center-West","Rural"
24043,"Center-West","Rural"
23427,"Center-West","Rural"
24120,"Center-West","Rural"
23408,"Center-West","Rural"
23423,"Center-West","Rural"
24504,"Center-West","Rural"
24135,"Center-West","Rural"
23437,"Center-West","Rural"
24522,"Center-West","Rural"
24112,"Center-West","Rural"
23436,"Center-West","Rural"
24015,"Center-West","Rural"
24126,"Center-West","Rural"
24057,"Center-West","Rural"
24050,"Center-West","Rural"
23414,"Center-West","Rural"
24528,"Center-West","Rural"
24531,"Center-West","Rural"
24508,"Center-West","Rural"
24513,"Center-West","Rural"
24544,"Center-West","Rural"
23415,"Center-West","Rural"
24524,"Center-West","Rural"
23407,"Center-West","Rural"
24115,"Center-West","Rural"
23424,"Center-West","Rural"
24010,"Center-West","Rural"
23446,"Center-West","Rural"
23456,"Center-West","Rural"
24547,"Center-West","Rural"
24063,"Center-West","Rural"
24018,"Center-West","Rural"
24142,"Center-West","Rural"
24116,"Center-West","Rural"
23459,"Center-West","Rural"
